epoch,loss_total,loss_atk,loss_prog,val_f1,val_auroc,val_prog_acc
1,1.6276425533913392,0.9537645198354785,1.3477560372427273,0.4308681672025723,0.8512128910783834,0.8005692072747467
2,0.992437362404211,0.4922501914186499,1.0003743419711222,0.43887147335423204,0.8775050940135669,0.9366930445647647
3,0.7282946795158471,0.31826024220827176,0.8200688715482451,0.5395894428152492,0.9090009285290551,0.9493266694432875
4,0.6458385169372729,0.25950568797737694,0.7726656642536189,0.5325443786982248,0.8977812024451265,0.9463418020269332
5,0.613775055680499,0.2525893866815823,0.7223713304639129,0.5281899109792284,0.8903207294111579,0.9438428432597529
6,0.5390366767876901,0.2031472812029606,0.6717787975699576,0.5352941176470588,0.8936673028810193,0.9405108982368457
7,0.47409001039445264,0.1689418296619283,0.6102963677988756,0.5597667638483965,0.8968397771530269,0.9609884770234625
8,0.47997809056467655,0.17828183482824023,0.6033925103394511,0.5481049562682216,0.8947699311340951,0.9398861585450506
9,0.4473689813208527,0.1676273560964021,0.5594832526490726,0.5465116279069767,0.8836082381161177,0.9502984867416354
10,0.39543985847125385,0.13789153419084996,0.5150966458939332,0.543859649122807,0.8869773800005158,0.9564070526169651
11,0.3909869782076586,0.143880857633931,0.49421224278091586,0.5597667638483965,0.8893696319413995,0.9563376370956546
12,0.36275209729836827,0.12613354184950223,0.47323711513139527,0.5565217391304348,0.8892471176910577,0.9613355546300153
13,0.34373568688463046,0.12211719548675572,0.44323698492924907,0.5672514619883041,0.8818833664336747,0.965847563515202
14,0.36362405358011557,0.13470427240234628,0.45783956658920183,0.5590778097982709,0.8822799257176757,0.9671664584201027
15,0.33221188620966285,0.10885842949552024,0.44670691612849567,0.5714285714285715,0.8804357638441103,0.970637234485631
16,0.30433444642113894,0.09375367625314383,0.42116153580230353,0.5647058823529412,0.8791783807484975,0.9639039289185062
17,0.29209739543180874,0.09995710989772874,0.38428056580108283,0.5672514619883041,0.8817511800056744,0.9682771067610718
18,0.296324084469136,0.10150157995272002,0.38964501356651854,0.5623188405797102,0.8748581413943411,0.9675829515479661
19,0.2965808171420556,0.10934876852254206,0.37446410523965057,0.5606936416184971,0.8708732041990147,0.9589060113841454
20,0.29133687996757646,0.1128970128411148,0.35687973055263494,0.5672514619883041,0.8679554306053493,0.9645286686103013
21,0.2783250737376928,0.09141972187648151,0.37381070132223554,0.5590778097982709,0.869051610739986,0.9639039289185062
22,0.26117385833855444,0.08808751320945603,0.3461726921916808,0.5747800586510263,0.8690354904438885,0.9685547688463141
23,0.25503687677234077,0.08479744692643483,0.3404788575583123,0.5597667638483965,0.8639866137061205,0.9566847147022074
24,0.2533485458067866,0.08560880160238385,0.3354794905756411,0.5655976676384841,0.8667206159242733,0.9591142579480771
25,0.26134595868304805,0.09330297718178772,0.33608595976893535,0.5623188405797102,0.8689984137628639,0.9623073719283631
