epoch,loss_total,loss_atk,loss_prog,val_f1,val_auroc,val_prog_acc
1,1.844778175588689,1.137772257296031,1.4140118448526267,0.3049645390070922,0.7826307033607593,0.6991531306400111
2,1.1865116525816437,0.6374621421965443,1.098098979967019,0.39743589743589747,0.8026198705217817,0.8717895321393864
3,0.9776842508806745,0.505390681476401,0.9445871578766996,0.4876543209876543,0.8316847643857521,0.9038595029848674
4,0.8456819946867241,0.40913911420493587,0.8730857502960785,0.5196374622356494,0.8429657475948518,0.9128141052339304
5,0.7308423369789551,0.3288384590639631,0.8040077535631406,0.4829721362229102,0.8325681566119006,0.909829237817576
6,0.71218096156515,0.31808318167724864,0.7881955565755533,0.5222551928783382,0.8370076861571794,0.9355823962237957
7,0.6399438421198186,0.2724320457819058,0.7350235904089824,0.5,0.8325326919604861,0.9094821602110232
8,0.6193516191753499,0.26214570537109505,0.7144118340756802,0.5178571428571429,0.8467056562894947,0.9089962515618493
9,0.5896910283656195,0.24900942564143963,0.681363204314938,0.503030303030303,0.8236633050475871,0.9155213105650424
10,0.5565958763128959,0.23568633398753686,0.6418190857174679,0.5238095238095238,0.8343091485904414,0.9176037762043593
11,0.5272622139795248,0.21861754007787512,0.6172893488700492,0.5178571428571429,0.8401285754816745,0.9298903234763293
12,0.5075209372795668,0.21208903956866637,0.5908637921548796,0.5341246290801186,0.8384359443914267,0.9430792725253366
13,0.47887307045443744,0.20116104788961559,0.5554240513967987,0.5266272189349113,0.8408668850429445,0.9290573372206026
14,0.47010867427659514,0.1980661258801518,0.5440850935259655,0.5178571428571429,0.8309061540842382,0.9306538942107455
15,0.4560694835863391,0.18365911266014345,0.5448207449859688,0.5281899109792284,0.8410490443888473,0.9271831181452173
16,0.39894730399385664,0.15164359810635014,0.49460741337513764,0.5614035087719299,0.8414117510510433,0.9544634180202693
17,0.40026059346711074,0.1695317614665234,0.46145767040167346,0.5380116959064327,0.8354053287250779,0.9451617381646537
18,0.39039501194452547,0.15985475797247833,0.4610805073440475,0.5395894428152492,0.8382199324237188,0.9414133000138831
19,0.38498938270329897,0.1673756365141346,0.435227490311501,0.5266272189349113,0.8401672641923088,0.9362765514369012
20,0.3737567056478803,0.16197537135757856,0.42356266698047884,0.5597667638483965,0.8449001831265637,0.9430792725253366
21,0.362488120460937,0.14647760180552266,0.4320210388442814,0.5325443786982248,0.8350700265662481,0.9334999305844787
22,0.3387326915525483,0.1390964603197388,0.3992724597987446,0.5309734513274336,0.834747620644296,0.9446758295154797
23,0.3407793757099433,0.14431351493269004,0.39293171728750736,0.5238095238095238,0.8334789533414149,0.9375260308204915
24,0.33574010015067374,0.14335029343897332,0.3847796150235255,0.5250737463126843,0.8349055995460524,0.9409273913647092
25,0.32966712403884135,0.14219672291204166,0.37494080018677167,0.5395894428152492,0.8358147842459571,0.9455782312925171
26,0.33343184941033654,0.13445370355975175,0.3979562885675921,0.5294117647058824,0.833506357844781,0.9446758295154797
27,0.32778647275312367,0.13915143367028077,0.3772700808325603,0.5395894428152492,0.8339319336617576,0.9462723865056226
28,0.32894857311142106,0.14087769729179023,0.3761417489057153,0.533724340175953,0.8338094194114158,0.9463418020269332
29,0.3288752666655803,0.1360282396743495,0.38569405394912565,0.5352941176470588,0.8336675608057569,0.9471053727613494
30,0.3374673025453384,0.13346244901485357,0.4080097065942666,0.5352941176470588,0.8336675608057569,0.9471053727613494
31,0.3674124285945423,0.15422372553305871,0.4263774002558433,0.5294117647058824,0.8417309329137758,0.9389837567680134
32,0.4117205779024419,0.18014052040224907,0.46316011333358903,0.5238095238095238,0.8461285496892006,0.9164931278633902
33,0.39197834919496405,0.18196496974168475,0.4200267573064339,0.5497076023391814,0.8538050346908773,0.9541163404137165
34,0.36678941511201113,0.1643478724713827,0.4048830788807581,0.5207100591715976,0.838700317247427,0.9533527696793003
35,0.37828442034305343,0.17441728324431435,0.40773427473085305,0.533724340175953,0.8511870986046273,0.9424545328335415
36,0.34321643922152933,0.14935981040566293,0.38771325283135877,0.5015105740181268,0.831974929715509,0.936484798000833
37,0.3466100130038507,0.1601700765774554,0.37287987651974297,0.5352941176470588,0.8391968223672333,0.953561016243232
38,0.3281694702987436,0.14261426198269164,0.3711104128984797,0.533724340175953,0.8480146243326196,0.9428016104400944
39,0.32635422887684784,0.15277423364604079,0.34715999206173875,0.543859649122807,0.8390452915839159,0.9533527696793003
40,0.3190435793842512,0.13798250938021897,0.3621221399413926,0.5590778097982709,0.8500328854040391,0.9522421213383313
41,0.34630889940581866,0.15431409484188027,0.3839896118614231,0.5309734513274336,0.841279564623043,0.9440510898236846
42,0.32822964342115174,0.14338588074549732,0.36968752908493313,0.5380116959064327,0.8384714090428413,0.9532139386366791
43,0.3029372396085086,0.13683246167780835,0.3322095494942377,0.5178571428571429,0.8414859044130923,0.9368318756073858
44,0.2887489503662058,0.1319103385978097,0.31367722347012034,0.502994011976048,0.82512057981481,0.9406497292794669
45,0.26233329915627,0.11421290236698167,0.29624079411195164,0.5309734513274336,0.8422177658559233,0.9571012078300708
46,0.2795308194304473,0.1279234478304317,0.3032147447668199,0.5294117647058824,0.8403252430940652,0.9463418020269332
47,0.2627513935701959,0.11459425308427021,0.2963142844387882,0.5045045045045046,0.8325681566119005,0.9416215465778148
48,0.25204197952411317,0.10388672425176207,0.2963105113447646,0.5119047619047619,0.8283929999226226,0.944467582951548
49,0.2674646607581401,0.12286604632533904,0.28919722829889133,0.5119047619047619,0.8370205823940574,0.9527280299875052
50,0.24807299010172254,0.10420102027705319,0.28774393571569884,0.5134328358208956,0.829692295788089,0.9530056920727474
