epoch,loss_total,loss_atk,loss_prog,val_f1,val_auroc,val_prog_acc
1,1.213392131813954,0.6695763455407998,1.0876315812136503,0.0,0.5010977921642465,0.9427321949187838
2,1.0367094921052322,0.5780936780925299,0.9172316428265582,0.17241379310344826,0.7046922957880892,0.8182007496876301
3,0.8453075819100843,0.43542239783327585,0.8197703617531181,0.1879699248120301,0.6854704547213123,0.9435651811745106
4,0.685469786059403,0.3294610273117987,0.7120175206954581,0.2158273381294964,0.7926607515926852,0.9350270720533111
5,0.6050731846416824,0.2760297565718892,0.658086857273008,0.3783783783783784,0.8475826003972041,0.8142440649729279
6,0.5977975127414302,0.26867737976096623,0.6582402600271323,0.4220779220779221,0.8615492249361637,0.9090656670831598
7,0.5056272534449362,0.20743172694105963,0.5963910609417047,0.3378378378378379,0.8238954373113924,0.9340552547549632
8,0.47050489915297333,0.18791397049256353,0.5651818572541478,0.31756756756756754,0.7914904180959996,0.9456476468138276
9,0.4581085574173554,0.18295122466364697,0.5503146708411658,0.4129032258064516,0.8525476515952646,0.9371095376926281
10,0.4980158612498768,0.20916174118817518,0.5777082343229512,0.34551495016611294,0.8183178148616234,0.8979591836734694
11,0.42667331451537627,0.16249830317443917,0.5283500248153737,0.43174603174603177,0.8477083387067654,0.9384284325975288
12,0.37433470682276443,0.1383239870903476,0.4720214338643972,0.4140127388535032,0.8698705217817441,0.8947660696931834
13,0.4218299461557828,0.163847818120614,0.5159642496365029,0.44303797468354433,0.859069923396353,0.9239205886436207
14,0.3521392780795727,0.12090377346247902,0.4624710119010618,0.4217252396166134,0.8461221015707617,0.9370401221713175
15,0.31709628177169186,0.10207280639133998,0.4300469513107466,0.40894568690095845,0.8383521188517191,0.9260724698042482
16,0.33020536051500565,0.1091281525974039,0.44215441923546844,0.4104234527687296,0.8438459157617807,0.9393308343745661
17,0.2939588893579957,0.09371745273037511,0.400482871388429,0.4331210191082802,0.8639414768770473,0.9323198667221991
18,0.2632976734398195,0.07755337050497133,0.3714886063697354,0.4465408805031446,0.8443198524670501,0.9341940857975843
19,0.24591575046247016,0.07176901568435716,0.3482934717897334,0.4582043343653251,0.8612300430734311,0.9260030542829376
20,0.23323474261051322,0.06537289625779627,0.3357236883384269,0.45962732919254656,0.8601918960047458,0.940302651672914
21,0.22710652312709714,0.06106027529076975,0.33209249250574135,0.43887147335423204,0.846328441360811,0.9386366791614605
22,0.22791830098602328,0.0619866655643621,0.3318632679764323,0.45768025078369906,0.8464767480849089,0.9402332361516035
23,0.21594321187710602,0.05692427570387821,0.3180378749799942,0.47560975609756095,0.853221479972144,0.9272525336665278
24,0.19837052916787082,0.04730470247683376,0.30213165006514897,0.4582043343653251,0.8577448350571304,0.9327363598500624
25,0.20509344742735494,0.05119809981693891,0.3077906958875507,0.45341614906832295,0.8563423692966393,0.9271831181452173
26,0.19815140355886762,0.047714825269559884,0.3008731549618228,0.44236760124610597,0.8505519589383819,0.933291684020547
27,0.18772975623740978,0.04356676846809302,0.28832597920558595,0.4639498432601881,0.8520704908307757,0.9303762321255032
28,0.187063794674756,0.04294088759961678,0.2882458110583709,0.46105919003115264,0.8517158443166284,0.9293349993058447
29,0.18430116312615824,0.04275879894760364,0.2830847287738083,0.45625,0.84848211291945,0.9329446064139941
30,0.18577762444814047,0.04341531784109088,0.2847246082303775,0.45201238390092874,0.8492300946583786,0.932181035679578
31,0.23863348491506556,0.07307004795245142,0.331126874525275,0.44859813084112155,0.8466540713419825,0.93120921838123
32,0.2535056829185827,0.07482408625500847,0.35736319242707837,0.44936708860759494,0.8503101544969179,0.9195474108010551
33,0.23847545873398748,0.06608925066404961,0.3447724170732818,0.43729903536977494,0.7927606974284903,0.9378036929057337
34,0.3259679335075737,0.13028821512490044,0.3913594288313949,0.45201238390092874,0.8653213742230018,0.6767319172566986
35,0.29057973363255496,0.09832016226962642,0.3845191341918587,0.45482866043613707,0.8438394676433415,0.8519366930445648
36,0.19806070812463228,0.0487808956237514,0.29855962234322125,0.38032786885245895,0.8349313920198086,0.9294044148271553
37,0.19241694355971062,0.04677456724030326,0.2912847515720649,0.3831168831168831,0.7962394573263522,0.9353047341385534
38,0.19883400241800603,0.060205124868642566,0.27725775813229664,0.432601880877743,0.8456965257537851,0.8867138692211578
39,0.24824182052473628,0.08487381069385498,0.32673601696155213,0.32394366197183105,0.7820020118129529,0.9392614188532555
40,0.20332373328656958,0.06154093889715421,0.28356558917886193,0.3713355048859935,0.8309367826468236,0.9330834374566153
41,0.14368418029090702,0.028256293057028613,0.23085577445942285,0.43750000000000006,0.8333999638905368,0.8763015410245731
42,0.1767596645109872,0.05018025766683105,0.2531588113547972,0.33887043189368776,0.8107831884656058,0.9253783145911426
43,0.1243244537904492,0.026006059846121993,0.19663678613018404,0.3961038961038961,0.8298438265714065,0.8985145078439539
44,0.1197594771915901,0.024011133459523753,0.19149668718077725,0.4203821656050956,0.8305369993036031,0.8954602249062891
45,0.10541805161592412,0.021842094321612278,0.16715191574704727,0.33557046979865773,0.8069916948234505,0.9244759128141052
46,0.09477600361943511,0.01978143375425264,0.14998913971369698,0.3533333333333334,0.8069272136390601,0.9357212272664168
47,0.105628262163542,0.024538899905212908,0.16217872597093816,0.35526315789473684,0.8007080034046066,0.9126058586699987
48,0.09272157197497302,0.020051414451209757,0.14534031544755768,0.38,0.8033710763199298,0.9351659030959323
49,0.09036034100607737,0.02285594694416395,0.13500878774879763,0.37254901960784315,0.7956397823115215,0.932805775371373
