epoch,loss_total,loss_atk,loss_prog,val_f1,val_auroc,val_prog_acc
1,1.639537082689187,0.9731336417347526,1.3328068944431792,0.3414634146341463,0.8350925949807846,0.8214632791892267
2,1.0348928932108867,0.533664084054213,1.0024576224470032,0.507177033492823,0.8774051481777618,0.9221852006108566
3,0.8010257874559236,0.3742174426847923,0.8536166916757622,0.639344262295082,0.8970622372391736,0.9211439677911981
4,0.7029375305911839,0.30493247162309,0.7960101296704354,0.6245353159851301,0.86593716953393,0.9173955296404276
5,0.6051290464614595,0.2470457884889321,0.7161665148116332,0.518796992481203,0.853142490521266,0.9395390809384978
6,0.5504650231575806,0.21385799338353562,0.6732140680820883,0.5494505494505494,0.8479565912666684,0.9446064139941691
7,0.4817339973961747,0.17300836411898568,0.6174512697546274,0.6422018348623855,0.84747620644296,0.9538386783284742
8,0.5050167884069268,0.19513452023067732,0.6197645289519222,0.6641791044776119,0.863164478605143,0.9524503679022629
9,0.47798449401087406,0.18646395213118602,0.5830410698916288,0.6126126126126127,0.8642638827989992,0.9201721504928502
10,0.43155251333377503,0.15874302037210272,0.5456189858566728,0.6206896551724138,0.8471731448763251,0.9521727058170207
11,0.4120136304056351,0.14700563968694716,0.5300159750368771,0.5877192982456141,0.8447389801655877,0.9404414827155352
12,0.4006675473795641,0.14544366116758428,0.510447781958036,0.6491228070175439,0.8480791055170102,0.9554352353186173
13,0.37661850932460506,0.1332360214034983,0.4867649726419641,0.6516853932584269,0.84445526295427,0.9604331528529779
14,0.3873716311433438,0.1399374188026059,0.49486842411476495,0.6492537313432836,0.8660274431920766,0.9485630987088713
15,0.3568985164832215,0.11828365848635133,0.4772297170604902,0.6009389671361502,0.8539823579479509,0.9441205053449951
16,0.32767985871174193,0.10518478105465572,0.4449901515472122,0.6090534979423867,0.8560167393154677,0.9435651811745106
17,0.32688522025509437,0.11619335494652157,0.4213837317172313,0.579185520361991,0.8621198834180186,0.9441205053449951
18,0.3184003403256137,0.1122657420984584,0.4122691874536092,0.6255924170616114,0.86593716953393,0.9467582951547966
19,0.30965789785854503,0.11078123754969646,0.39775332008432224,0.6220095693779903,0.8567582729359573,0.9412050534499514
20,0.31364611604603077,0.12163335444943217,0.3840255247933219,0.6725663716814159,0.858096257512058,0.9520338747743996
21,0.2949710598994688,0.097730377659835,0.39448136557935337,0.625,0.8567486007582987,0.9527280299875052
22,0.2854828673187785,0.10136395002771544,0.3682378382490785,0.6296296296296297,0.8608721725000645,0.9518256282104679
